subject,state,phase,label,stress_stage,is_stress,win_start,win_end,eda_mean,eda_std,eda_slope,eda_peak_rate,acc_mean,acc_std,acc_energy,temp_mean,temp_std,temp_slope,hr_mean,rmssd,sdnn,pnn50,lf_hf
S01,stress,rest,0.0,,0,0.0,60.0,0.23690360104166666,0.19362266516065255,0.004018489676687095,0.8166666530555559,64.9903049754898,5.868340154880977,4258.177156980563,32.16333333333333,0.7174832557086068,0.02741103144151777,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,30.0,90.0,0.3293535135416667,0.08241296259404318,0.0034738721440476395,0.3333333277777779,65.36886326606549,4.850125015923084,4296.611997367649,32.775166666666664,0.24584203374434513,0.013633292244656873,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,60.0,120.0,0.3959687114583333,0.01698622683039617,0.000925203633309605,0.0,65.05907655754996,3.5462041231332875,4245.259006204072,33.05433333333333,0.08446629834173836,0.004669525512595277,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,90.0,150.0,0.4195345427083333,0.012201575434694516,0.0006983076255664158,0.0,64.44064870826418,0.292686270774138,4152.682871195008,33.168,0.054522166745889805,0.0030356082570878354,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,120.0,180.0,0.4414552682291666,0.013428925505073982,0.0007661238521936123,0.0,64.25071945297901,0.2903121412909898,4128.239231364797,33.254,0.04920027100196457,0.0026750464417783473,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,150.0,210.0,0.46698967343750003,0.0169530574026743,0.0009664478981839933,0.0,64.14870370919724,0.44567444606774137,4115.254813282253,33.3215,0.032955778451332,0.001772530773103372,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,180.0,240.0,0.502443153125,0.023595759530354456,0.001340109215003729,0.0,64.00395928048215,2.03321531966801,4100.64076811375,33.34866666666667,0.01811690432226691,0.00013389121338877287,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,210.0,270.0,0.5536044083333332,0.03183222406680868,0.0017765183649021633,0.016666666388888893,64.34501228828434,2.168770269936585,4144.984170863222,33.41066666666667,0.07145783527523179,0.0036539523255610684,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,240.0,300.0,0.5943030940104166,0.014525171188610166,0.0007524387258242285,0.016666666388888893,64.72106829750155,0.767949541263887,4189.406428067787,33.53183333333334,0.06989257630265412,0.0038820118404831005,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,270.0,330.0,0.6187837823567708,0.015912721404787677,0.000871820515357247,0.0,64.63861432136369,0.4147126886464375,4178.322448000126,33.612833333333334,0.027208556660645113,0.001398079827774439,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,300.0,360.0,0.6140462690104166,0.06099896698623942,-0.001626622202750922,0.03333333277777779,64.41833006194376,4.5757564295631,4170.658794872215,33.6325,0.02255548713727857,-0.00032195003385496494,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,330.0,390.0,0.5402411479166667,0.08014279756158947,-0.0035550607536589214,0.03333333277777779,64.66326005387076,4.722864496155816,4203.642649843567,33.57216666666667,0.06519436751403783,-0.003605895935693399,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,360.0,420.0,0.4937516008789063,0.011423929478903798,0.0005685865298089985,0.0,65.05198771200689,2.0486389265265594,4235.958026734376,33.48866666666667,0.03485525625911862,-0.0018089202937554892,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,390.0,450.0,0.5206475915039063,0.021487531778515135,0.0010464708969421086,0.016666666388888893,65.06902139457361,2.3319333800429294,4239.415458536436,33.44383333333333,0.026018689863678345,-0.001321411830066579,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,420.0,480.0,0.5396365864583333,0.01187187827029322,0.00020196483315682509,0.016666666388888893,64.51766056948601,2.7714934122221586,4170.2097010934,33.441,0.04369210454990751,0.0014678032604727358,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,450.0,510.0,0.5344058427083332,0.014477320726293874,-0.0003447764062744191,0.016666666388888893,64.20828883864921,3.577644840557259,4135.503898192571,33.498999999999995,0.06035174672976215,0.002462820535078476,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
S01,stress,rest,0.0,,0,480.0,540.0,0.5315522010416667,0.012817660176935777,0.00010710197442663437,0.016666666388888893,64.51238241767687,3.0423007412729173,4171.103079004933,33.44466666666666,0.11990922492545066,-0.006504557370788012,60.76174040602143,0.1478104088565505,0.20690558519775648,0.6329113924050633,1.2114328665588445
